title,video id,youtube url,filename,tags,primary_movement_pattern
Barbell Reverse Lunge,iHLQoQBcvVE,https://www.youtube.com/watch?v=iHLQoQBcvVE,,"Squat, ['lower body']",Squat
Bent-Over Dumbbell Row,5YG4RuyoxcM,https://www.youtube.com/watch?v=5YG4RuyoxcM,,"Pull, ['upper body'], arm",Pull
Barbell Reverse Lunge With a Front Squat Grip,5m9QxcThhxE,https://www.youtube.com/watch?v=5m9QxcThhxE,,"Squat, ['lower body']",Squat
Bodyweight Split Squat With Blocked Knee,5mAx_tzQLIw,https://www.youtube.com/watch?v=5mAx_tzQLIw,,"Squat, ['lower body']",Squat
Bodyweight Get-Up,9OZv39ct-7o,https://www.youtube.com/watch?v=9OZv39ct-7o,,['Uncategorized'],
Barbell Romanian Deadlift,BW0Kh9DyDPE,https://www.youtube.com/watch?v=BW0Kh9DyDPE,,"Hinge, ['lower body']",Hinge
Bodyweight Step-Up,Id-aJcXX8s8,https://www.youtube.com/watch?v=Id-aJcXX8s8,,['Uncategorized'],
Bear Crawl,PC-RHLa9mmA,https://www.youtube.com/watch?v=PC-RHLa9mmA,,['Uncategorized'],
Bodyweight Lateral Lunge With Assistance,PWBPeCl6CoI,https://www.youtube.com/watch?v=PWBPeCl6CoI,,"Squat, ['lower body']",Squat
Bodyweight Lateral Squat,PuLp7QAV6ZI,https://www.youtube.com/watch?v=PuLp7QAV6ZI,,"Squat, ['lower body']",Squat
Barbell Overhead Shrug,RsAYW2o36CA,https://www.youtube.com/watch?v=RsAYW2o36CA,,"Push, ['Uncategorized'], stability",Push
Cross-Body Lat Mobilization,fN1HoWcrhMM,https://www.youtube.com/watch?v=fN1HoWcrhMM,,['Uncategorized'],
Close-Grip Barbell Bench Press,iF0TFR72904,https://www.youtube.com/watch?v=iF0TFR72904,,"Push, ['upper body'], upper body",Push
Brady Band Series - Without Band,jbFQl49isI4,https://www.youtube.com/watch?v=jbFQl49isI4,,['band'],
Brady Band Series,kzBvYQTadIo,https://www.youtube.com/watch?v=kzBvYQTadIo,,['band'],
Dumbbell Overhead Shrug,lLlTDqZ2cy0,https://www.youtube.com/watch?v=lLlTDqZ2cy0,,"Push, ['Uncategorized'], stability",Push
Cable External Rotation at 30 Degrees Abduction,ogBNjiziPXk,https://www.youtube.com/watch?v=ogBNjiziPXk,,"Core, ['core'], stability",Core
Chest-Supported Dumbbell Row,uvx76WZG1rM,https://www.youtube.com/watch?v=uvx76WZG1rM,,"Pull, ['upper body'], arm",Pull
Dumbbell Flye EQI,wbkyEWHiTcM,https://www.youtube.com/watch?v=wbkyEWHiTcM,,['Uncategorized'],
Dead Bug,xx6Atwy3DoY,https://www.youtube.com/watch?v=xx6Atwy3DoY,,"['Uncategorized'], core",
Dumbbell Hammer Curl,yAb_ydjrCLg,https://www.youtube.com/watch?v=yAb_ydjrCLg,,"Pull, ['Uncategorized'], arm",Pull
Close-Grip Pushup,HxLKq0R0Gw4,https://www.youtube.com/watch?v=HxLKq0R0Gw4,,"Push, ['upper body'], upper body",Push
Deep Squat Wall Stretch,Ny1wjk-HpkE,https://www.youtube.com/watch?v=Ny1wjk-HpkE,,"'lower body'], Squat, ['mobility'",Squat
Dragon Flag,NywaYUkJ-n0,https://www.youtube.com/watch?v=NywaYUkJ-n0,,['Uncategorized'],
Dumbbell Push Press,Oiu1F14Ayho,https://www.youtube.com/watch?v=Oiu1F14Ayho,,"Push, ['upper body'], upper body",Push
Dumbbell Reverse Lunge,TEzLNj4pcV0,https://www.youtube.com/watch?v=TEzLNj4pcV0,,"Squat, ['lower body']",Squat
Dead Bug With Legs Only,U95OOYfkPXU,https://www.youtube.com/watch?v=U95OOYfkPXU,,"['Uncategorized'], core",
Chest-Supported Dumbbell Row Iso,X5TD5xdKTu0,https://www.youtube.com/watch?v=X5TD5xdKTu0,,"Pull, ['upper body'], arm",Pull
Dumbbell Floor Press,YubE9M8Ui34,https://www.youtube.com/watch?v=YubE9M8Ui34,,"'floor'], Push, ['upper body', upper body",Push
Cable External Rotation on Knee,_wJ04msDU0g,https://www.youtube.com/watch?v=_wJ04msDU0g,,"Core, ['core'], stability",Core
Chin-Up,KJnnqBMJjj8,https://www.youtube.com/watch?v=KJnnqBMJjj8,,['Uncategorized'],
Dumbbell Bench Press,39DbpHmHUlA,https://www.youtube.com/watch?v=39DbpHmHUlA,,"Push, ['upper body'], upper body",Push
Dumbbell Curl,3BllABOTtic,https://www.youtube.com/watch?v=3BllABOTtic,,"Pull, ['Uncategorized'], arm",Pull
Burpee Without Pushup,5OXmnzGFClU,https://www.youtube.com/watch?v=5OXmnzGFClU,,"'cardio'], Push, ['upper body', upper body",Push
Cable External Rotation at 90 Degrees Abduction,6MfGggayWVQ,https://www.youtube.com/watch?v=6MfGggayWVQ,,"Core, ['core'], stability",Core
Cable Pull-Down,76IhGAie_BI,https://www.youtube.com/watch?v=76IhGAie_BI,,"Pull, ['upper body'], arm",Pull
Dumbbell External Rotation on Knee,A4vw566sOQU,https://www.youtube.com/watch?v=A4vw566sOQU,,"['core'], stability",
Burpee,BuY1rvqXTsw,https://www.youtube.com/watch?v=BuY1rvqXTsw,,['cardio'],
Dumbbell Cross-Over Step-Up,E8m2rZugLt8,https://www.youtube.com/watch?v=E8m2rZugLt8,,['Uncategorized'],
Bowler Squat,Eh1K71L3IwI,https://www.youtube.com/watch?v=Eh1K71L3IwI,,"Squat, ['lower body']",Squat
Dumbbell Full Squat,FGr3e9QJTzE,https://www.youtube.com/watch?v=FGr3e9QJTzE,,"Squat, ['lower body']",Squat
Feet-Elevated Band-Resisted Pushup,dzclirx8a6E,https://www.youtube.com/watch?v=dzclirx8a6E,,"'band'], Push, ['upper body', upper body",Push
Dumbbell Reverse Lunge From Deficit,e9AtoZ1iWD4,https://www.youtube.com/watch?v=e9AtoZ1iWD4,,"Squat, ['lower body']",Squat
Goblet Squat,fS9Pt1IXqb4,https://www.youtube.com/watch?v=fS9Pt1IXqb4,,"Squat, ['lower body']",Squat
Goblet Lunge,gMrYuoxjN38,https://www.youtube.com/watch?v=gMrYuoxjN38,,"Squat, ['lower body']",Squat
Face Pull,l8HomIMKAaw,https://www.youtube.com/watch?v=l8HomIMKAaw,,"Pull, ['upper body'], arm",Pull
Feet-Elevated Pushup,nDw9lP8SvIk,https://www.youtube.com/watch?v=nDw9lP8SvIk,,"Push, ['upper body'], upper body",Push
Goblet Lateral Lunge Walk,oLHMYvkKAyE,https://www.youtube.com/watch?v=oLHMYvkKAyE,,"Squat, ['lower body']",Squat
Forearm Wall-Slide at 135 Degrees,qYYyC_oIwUY,https://www.youtube.com/watch?v=qYYyC_oIwUY,,['upper body'],
Goblet Reverse Lunge,syZu1ufoMhk,https://www.youtube.com/watch?v=syZu1ufoMhk,,"Squat, ['lower body']",Squat
Explosive Pushup,tvAKMvYw9rk,https://www.youtube.com/watch?v=tvAKMvYw9rk,,"Push, ['upper body'], upper body",Push
Dumbbell Squat Thrust,MvP2r-bnhd8,https://www.youtube.com/watch?v=MvP2r-bnhd8,,"Squat, ['lower body']",Squat
Dumbbell Split Squat,N6GPA5FB_n8,https://www.youtube.com/watch?v=N6GPA5FB_n8,,"Squat, ['lower body']",Squat
Dynamic Blackburn,Pru2Wo2nmpk,https://www.youtube.com/watch?v=Pru2Wo2nmpk,,['Uncategorized'],
Elbow Plank Bodysaw,S8cRYEgb-JI,https://www.youtube.com/watch?v=S8cRYEgb-JI,,"Core, ['core']",Core
Dumbbell Sumo Deadlift,UPs2GvQSZ2U,https://www.youtube.com/watch?v=UPs2GvQSZ2U,,"Hinge, ['lower body']",Hinge
Fetal-Position Breathing,UYxoElmDeio,https://www.youtube.com/watch?v=UYxoElmDeio,,['Uncategorized'],
Dumbbell Slideboard Reverse Lunge,arK9PURbeuI,https://www.youtube.com/watch?v=arK9PURbeuI,,"Squat, ['lower body']",Squat
Goblet Reverse Lunge With Blocked Knee,bcpGpUqpDyM,https://www.youtube.com/watch?v=bcpGpUqpDyM,,"Squat, ['lower body']",Squat
Goblet Lateral Lunge,c8bqYeHQi3c,https://www.youtube.com/watch?v=c8bqYeHQi3c,,"Squat, ['lower body']",Squat
Dumbbell Step-Up,cd21zwyH7p4,https://www.youtube.com/watch?v=cd21zwyH7p4,,['Uncategorized'],
Goblet Split Squat,-FTDMjHFMqo,https://www.youtube.com/watch?v=-FTDMjHFMqo,,"Squat, ['lower body']",Squat
